ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,admin_id,mkt_id,cm_id
2017-12-02,98.97327318913183,96.75867402778947,96.75867970059663,98.97327318913183,98.97327318913183,-2.214596300753515,-2.214596300753515,-2.214596300753515,-2.214596300753515,-2.214596300753515,-2.214596300753515,0.0,0.0,0.0,96.75867688837832,1.0,266,0.0
2017-12-03,99.00743621489548,97.0496056185601,97.04961158855895,99.00743621489548,99.00743621489548,-1.9578277830674051,-1.9578277830674051,-1.9578277830674051,-1.9578277830674051,-1.9578277830674051,-1.9578277830674051,0.0,0.0,0.0,97.04960843182808,1.0,266,0.0
2017-12-04,99.04159924065914,97.32555104616543,97.32572676269086,99.04159924065914,99.04177224573118,-1.7160451339421297,-1.7160451339421297,-1.7160451339421297,-1.7160451339421297,-1.7160451339421297,-1.7160451339421297,0.0,0.0,0.0,97.32555410671701,1.0,266,0.0
2017-12-05,99.0757622664228,97.58144980427667,97.58321201639893,99.07576030931045,99.07752150869,-1.4943065637476352,-1.4943065637476352,-1.4943065637476352,-1.4943065637476352,-1.4943065637476352,-1.4943065637476352,0.0,0.0,0.0,97.58145570267516,1.0,266,0.0
2017-12-06,99.10992529218646,97.8118900892331,97.81698617096343,99.10891405388885,99.11401165118535,-1.2970252903414268,-1.2970252903414268,-1.2970252903414268,-1.2970252903414268,-1.2970252903414268,-1.2970252903414268,0.0,0.0,0.0,97.81290000184504,1.0,266,0.0
2017-12-07,99.14408831795011,98.013222636822,98.02508487954215,99.1410483640825,99.15291162196897,-1.127826616330717,-1.127826616330717,-1.127826616330717,-1.127826616330717,-1.127826616330717,-1.127826616330717,0.0,0.0,0.0,98.01626170161938,1.0,266,0.0
2017-12-08,99.17825134371378,98.18307444860949,98.2018248048074,99.17250441035381,99.191254544369,-0.9894289805222356,-0.9894289805222356,-0.9894289805222356,-0.9894289805222356,-0.9894289805222356,-0.9894289805222356,0.0,0.0,0.0,98.18882236319155,1.0,266,0.0
2017-12-09,99.21241436947741,98.32061550539979,98.346756901647,99.20416865774246,99.23030971969708,-0.8835526653263888,-0.8835526653263888,-0.8835526653263888,-0.8835526653263888,-0.8835526653263888,-0.8835526653263888,0.0,0.0,0.0,98.32886170415102,1.0,266,0.0
2017-12-10,99.24657739524109,98.42251390148978,98.45642570101428,99.23337426338173,99.26728456809973,-0.8108590104377016,-0.8108590104377016,-0.8108590104377016,-0.8108590104377016,-0.8108590104377016,-0.8108590104377016,0.0,0.0,0.0,98.4357183848034,1.0,266,0.0
2017-12-11,99.28074042100475,98.4925705935651,98.53567349452469,99.26349148384219,99.30659166118733,-0.7709220653220601,-0.7709220653220601,-0.7709220653220601,-0.7709220653220601,-0.7709220653220601,-0.7709220653220601,0.0,0.0,0.0,98.5098183556827,1.0,266,0.0
